_id,author,content,tags,authorSlug,length,dateAdded,dateModified
CdL1z3NLSDrN,Thomas Jefferson,Don't talk about what you have done or what you are going to do.,['Wisdom'],thomas-jefferson,64,2021-05-12,2023-04-14
qSE0xr7MBUiX,Hannah More,Obstacles are those things you see when you take your eyes off the goal.,['Famous Quotes'],hannah-more,72,2020-08-27,2023-04-14
1YXmyT1yhWU,Benjamin Spock,Trust yourself. You know more than you think you do.,['Famous Quotes'],benjamin-spock,52,2021-02-12,2023-04-14
Y_5ywwfjw7,Laurie Anderson,Technology is the campfire around which we tell our stories.,['Technology'],laurie-anderson,60,2020-12-17,2023-04-14
FFdTTIJ6aqj_,Ralph Waldo Emerson,Everything in the universe goes by indirection. There are no straight lines.,['Famous Quotes'],ralph-waldo-emerson,76,2021-01-30,2023-04-14
Zrxblk3MazL,John Kenneth Galbraith,Meetings are indispensable when you don't want to do anything.,['Business'],john-kenneth-galbraith,62,2022-07-06,2023-04-14
V_8lMjayjqwM,Laozi,"To see things in the seed, that is genius.",['Wisdom'],laozi,42,2020-03-01,2023-04-14
tE2DJstE_-,Daniel Webster,Wisdom begins at the end.,['Wisdom'],daniel-webster,25,2020-01-15,2023-04-14
eDuDLZphbw9c,H. Jackson Brown Jr.,The best preparation for tomorrow is doing your best today.,['Famous Quotes'],h-jackson-brown-jr,59,2020-01-15,2023-04-14
nFekPJy-f7,Joyce Meyer,"Many sophisticated, intelligent people lack wisdom and common sense.",['Wisdom'],joyce-meyer,68,2019-01-08,2023-04-14
grgyy9zb0RLb,Andy Warhol,"They say that time changes things, but you actually have to change them yourself.","['Change', 'Wisdom']",andy-warhol,81,2019-09-13,2023-04-14
_WiuNkQC_E_B,Ralph Waldo Emerson,Thought is the blossom; language the bud; action the fruit behind it.,['Wisdom'],ralph-waldo-emerson,69,2021-05-07,2023-04-14
_eNo_ZJ4ggNS,Mary Wollstonecraft,The beginning is always today.,['Famous Quotes'],mary-wollstonecraft,30,2021-05-05,2023-04-14
4eeVnzls6mvl,Wolfgang Amadeus Mozart,"Neither a lofty degree of intelligence nor imagination nor both together go to the making of genius. Love, love, love, that is the soul of genius.",['Famous Quotes'],wolfgang-amadeus-mozart,146,2019-07-03,2023-04-14
bjZhiqcqpHD6,Cheng Yen,"Happiness does not come from having much, but from being attached to little.",['Famous Quotes'],cheng-yen,76,2020-12-17,2023-04-14
scBvf0Y5W3B,Ian Botham,"To me, it doesn't matter how good you are. Sport is all about playing and competing. Whatever you do in cricket and in sport, enjoy it, be positive and try to win.","['Sports', 'Competition']",ian-botham,163,2022-07-06,2023-04-14
io0NDLSyHH4Q,Pema Chödrön,The truth you believe and cling to makes you unavailable to hear anything new.,['Famous Quotes'],pema-chodron,78,2020-09-09,2023-04-14
AeJkfzeXkGnI,Thích Nhất Hạnh,"The most precious gift we can offer anyone is our attention. When mindfulness embraces those we love, they will bloom like flowers.",['Famous Quotes'],thich-nhat-hanh,131,2019-11-16,2023-04-14
P77hDIkrjYP,Confucius,"Study the past, if you would divine the future.",['Wisdom'],confucius,47,2021-04-23,2023-04-14
uqaaARLMJn6,Albert Einstein,"Once we accept our limits, we go beyond them.","['Famous Quotes', 'Inspirational']",albert-einstein,45,2019-04-05,2023-04-14
kFTTIYLRDSTd,Mary Kay Ash,"Aerodynamically the bumblebee shouldn't be able to fly, but the bumblebee doesn't know that, so it goes on flying anyway.",['Famous Quotes'],mary-kay-ash,121,2020-04-02,2023-04-14
QzPXTQCfcDZ,Charlotte Brontë,A ruffled mind makes a restless pillow.,['Wisdom'],charlotte-bronte,39,2021-01-19,2023-04-14
XSBuuvIdzX,John Locke,A friendship founded on business is better than a business founded on friendship.,['Friendship'],john-locke,81,2019-11-26,2023-04-14
_k3kxvogAs-6,Margaret Fuller,"If you have knowledge, let others light their candles in it.",['Famous Quotes'],margaret-fuller,60,2019-08-08,2023-04-14
Y93446BoHU,Warren Buffett,I won't close down a business of subnormal profitability merely to add a fraction of a point to our corporate returns. I also feel it inappropriate for even an exceptionally profitable company to fund an operation once it appears to have unending losses in prospect. Adam Smith would disagree with my first proposition and Karl Marx would disagree with my second; the middle ground is the only position that leaves me comfortable.,[],warren-buffett,430,2023-04-03,2023-04-03
7epB_H3Yc0vW,Napoleon Hill,You might well remember that nothing can bring you success but yourself.,['Success'],napoleon-hill,72,2021-03-28,2023-04-14
DgPQoKY7nq,Winston Churchill,History is written by the victors.,['History'],winston-churchill,34,2022-03-12,2023-04-14
3D8-OOvWjQi,Woody Allen,Life is divided into the horrible and the miserable.,['Film'],woody-allen,52,2020-01-12,2023-04-14
jbHSeSpkyL5H,Franklin D. Roosevelt,"Happiness is not in the mere possession of money; it lies in the joy of achievement, in the thrill of creative effort.",['Famous Quotes'],franklin-d-roosevelt,118,2021-04-23,2023-04-14
7epB_H3Yc0vW,Napoleon Hill,You might well remember that nothing can bring you success but yourself.,['Success'],napoleon-hill,72,2021-03-28,2023-04-14
oyagVQRGL7,George Foreman,"Forgiveness is that subtle thread that binds both love and friendship. Without forgiveness, you may not even have a child one day.",['Friendship'],george-foreman,130,2020-02-27,2023-04-14
os0ttGVNCk,Hanya Yanagihara,"Friendship is one of our most treasured relationships, but it isn't codified and celebrated; it's never going to give you a party.",['Friendship'],hanya-yanagihara,130,2021-04-15,2023-04-14
1lBSN5xAshKP,Ralph Waldo Emerson,To be great is to be misunderstood.,['Famous Quotes'],ralph-waldo-emerson,35,2020-10-14,2023-04-14
3nOC8XtYwJHl,J. R. R. Tolkien,Not all those who wander are lost.,['Famous Quotes'],j-r-r-tolkien,34,2019-12-23,2023-04-14
bbX2GibPCDjd,Thomas Carlyle,"By nature, man hates change; seldom will he quit his old home till it has actually fallen around his ears.","['Change', 'Wisdom']",thomas-carlyle,106,2019-02-20,2023-04-14
Px4iWP-ghc,William Butler Yeats,There are no strangers here; Only friends you haven't yet met.,['Friendship'],william-butler-yeats,62,2020-04-14,2023-04-14
GhOSPuEiMn,Tom Hodgkinson,All of our technology is completely unnecessary to a happy life.,['Technology'],tom-hodgkinson,64,2020-09-09,2023-04-14
2ts3DrACVY,Albert Einstein,I never teach my pupils. I only attempt to provide the conditions in which they can learn.,"['Education', 'Science']",albert-einstein,90,2023-04-06,2023-04-14
CXJ3rBlnfFa2,George Orwell,Myths which are believed in tend to become true.,['Famous Quotes'],george-orwell,48,2019-09-23,2023-04-14
r6gpkIboJCzH,Robert Fulghum,"If you break your neck, if you have nothing to eat, if your house is on fire, then you got a problem. Everything else is inconvenience.",['Famous Quotes'],robert-fulghum,135,2020-11-10,2023-04-14
ACSV7S22kJrQ,Maya Angelou,"We may encounter many defeats, but we must not be defeated.",['Famous Quotes'],maya-angelou,59,2020-12-06,2023-04-14
